manufact	model	sales	resale	type	price	engine_s	horsepow	wheelbas	width	length	curb_wgt	fuel_cap	mpg	lnsales	zresale	ztype	zprice	zengine_	zhorsepo	zwheelba	zwidth	zlength	zcurb_wg	zfuel_ca	zmpg
"Chevrolet"	"Cavalier"	145.519	9.25	0	13.26	2.2	115	104.1	67.9	180.9	2.676	14.3	27	4.980306662278614	-0.7703378433984923	-0.5926187754015971	-0.9846081599369682	-0.8240989667581451	-1.2512930592744627	-0.44327249867798524	-0.9415181471088653	-0.47972808369621756	-1.1134401056502514	-0.9392996483559769	0.7370301102336777
"Chevrolet"	"Malibu"	135.126	11.225	0	16.535	3.1	170	107	69.4	190.4	3.051	15	25	4.90620767648703	-0.5978997252938495	-0.5926187754015971	-0.7564114527829986	0.037431151878070335	-0.2812809117704062	-0.06375607475308216	-0.5069713099816929	0.22755108466609636	-0.518675588759769	-0.7592548500402445	0.27003715826500485
"Chevrolet"	"Lumina"	24.629	10.31	0	18.89	3.1	175	107.5	72.5	200.9	3.33	16.6	25	3.2039246104149885	-0.6777887774790383	-0.5926187754015971	-0.592318858783732	0.037431151878070335	-0.19309798927003743	0.0016777914408665211	0.39109215341446174	1.0092806918033908	-0.0761707881932504	-0.34772388246142705	0.27003715826500485
"Chevrolet"	"Monte Carlo"	42.593	11.525	0	19.39	3.4	180	110.5	72.7	197.9	3.34	17	27	3.7516899205246115	-0.571706593429853	-0.5926187754015971	-0.5574796668518283	0.324607858090142	-0.10491506676966865	0.3942809886045586	0.4490317316980855	0.7859293754784494	-0.060310401076171215	-0.24484114056672315	0.7370301102336777
"Chevrolet"	"Camaro"	26.402	13.025	0	24.34	3.8	200	101.1	74.1	193.2	3.5	16.8	25	3.273439764858568	-0.4407409341098711	-0.5926187754015971	-0.21257166672598132	0.707510133039571	0.24781662323180645	-0.8358756958416773	0.854608779683444	0.4360123132360402	0.19345579279710143	-0.2962825115140751	0.27003715826500485
"Chevrolet"	"Corvette"	17.947	36.225	0	45.705	5.7	345	104.5	73.6	179.7	3.21	19.1	22	2.8874229700471394	1.584861263372516	-0.5926187754015971	1.2761070045242653	2.52629593904936	2.805121375742501	-0.3909254057228256	0.7097598339743865	-0.5690686102261954	-0.2664954335982049	0.2952932543804747	-0.43045226968800443
"Chevrolet"	"Prizm"	32.299	9.125	0	13.96	1.8	120	97.1	66.7	174.3	2.398	13.2	33	3.475036269997026	-0.7812516483418241	-0.5926187754015971	-0.9358332912323029	-1.2070012417075744	-1.163110136774094	-1.3593466253932667	-1.289155616810604	-0.9711009796110879	-1.5543588675050621	-1.222227188566414	2.1380089661396964
"Chevrolet"	"Metro"	21.855	5.16	0	9.235	1	55	93.1	62.6	149.4	1.895	10.3	45	3.084429728315278	-1.1274375411443096	-0.5926187754015971	-1.2650636549887933	-1.9728057916064325	-2.309488129278888	-1.8828175549448563	-2.476916971624876	-2.8249169051081005	-2.352136339494163	-1.9681270673030198	4.939966677951733
"Chevrolet"	"Impala"	107.995		0	18.89	3.4	180	110.5	73	200	3.389	17	27	4.682084929756217		-0.5926187754015971	-0.592318858783732	0.324607858090142	-0.10491506676966865	0.3942809886045586	0.5359410991235192	0.9422752969059079	0.01740549579751836	-0.24484114056672315	0.7370301102336777
"Chrysler"	"Sebring Coupe"	7.854	12.36	0	19.84	2.5	163	103.7	69.7	190.9	2.967	15.9	24	2.061022956155818	-0.4988023764083965	-0.5926187754015971	-0.526124394113115	-0.5369222605460734	-0.4047370032709225	-0.49561959163314306	-0.4200619425562592	0.26477630405358654	-0.6519028405432372	-0.5277686807771599	0.036540682280668424
"Chrysler"	"Sebring Conv."	32.775	14.18	0	24.495	2.5	168	106	69.2	193	3.332	16	24	3.4896660296497637	-0.33989737643348505	-0.5926187754015971	-0.20177151722709108	-0.5369222605460734	-0.3165540807705537	-0.19462380714097952	-0.5649108882653167	0.421122225481045	-0.07299871076983484	-0.5020479953034839	0.036540682280668424
"Chrysler"	"Concorde"	31.148	13.725	0	22.245	2.7	200	113	74.4	209.1	3.452	17	26	3.4387500377147395	-0.3796236264272129	-0.5926187754015971	-0.35854788092065787	-0.3454711230713587	0.24781662323180645	0.721450319574302	0.9415181471088817	1.6197742897582292	0.11732593463511964	-0.24484114056672315	0.5035336342493413
"Chrysler"	"Cirrus"	32.306	12.64	0	16.48	2	132	108	71	186	2.911	16	27	3.475252971491566	-0.47435545333533313	-0.5926187754015971	-0.760243763895508	-1.0155501042328599	-0.9514711227732089	0.0671116576348152	-0.04345468371271065	-0.10003084594381789	-0.7407210083988827	-0.5020479953034839	0.7370301102336777
"Chrysler"	"LHS"	13.462	17.325	0	28.34	3.5	253	113	74.4	207.7	3.564	17	23	2.5998709015885213	-0.06530604405925636	-0.5926187754015971	0.06614186872924857	0.42033342682749936	1.1825556017357155	0.721450319574302	0.9415181471088817	1.5155436754732563	0.2949622703464105	-0.24484114056672315	-0.196955793703668
"Chrysler"	"Town & Country"	53.48	19.54	1										3.9793077522337423	0.1280865795365836	1.6766775108923242									
"Chrysler"	"300M"	30.696		0	29.185	3.5	253	113	74.4	197.8	3.567	17	23	3.4241323529446515		-0.5926187754015971	0.1250201030941658	0.42033342682749936	1.1825556017357155	0.721450319574302	0.9415181471088817	0.7784843316009519	0.29972038648153454	-0.24484114056672315	-0.196955793703668
"Dodge"	"Neon"	76.034	7.75	0	12.64	2	132	105	74.4	174.4	2.567	12.5	29	4.3311806086679665	-0.9013035027184743	-0.5926187754015971	-1.0278087579325288	-1.0155501042328599	-0.9514711227732089	-0.3254915395288769	0.9415181471088817	-0.9636559357335903	-1.286318325226418	-1.4022719868821463	1.2040230622023504
"Dodge"	"Avenger"	4.734	12.545	0	19.045	2.5	163	103.7	69.1	190.2	2.879	15.9	24	1.5547705110917922	-0.48264994509226533	-0.5926187754015971	-0.5815187092848417	-0.5369222605460734	-0.4047370032709225	-0.49561959163314306	-0.5938806774071307	0.212660996911099	-0.7914742471735372	-0.5277686807771599	0.036540682280668424
"Dodge"	"Stratus"	71.186	10.185	0	20.23	2.5	168	108	71	186	3.058	16	24	4.265296169870389	-0.6887025824223701	-0.5926187754015971	-0.49894982440623	-0.5369222605460734	-0.3165540807705537	0.0671116576348152	-0.04345468371271065	-0.10003084594381789	-0.5075733177778139	-0.5020479953034839	0.036540682280668424
"Dodge"	"Intrepid"	88.028	12.275	0	22.505	2.7	202	113	74.7	203.7	3.489	17		4.477654945687289	-0.5062237637698621	-0.5926187754015971	-0.34043150111606807	-0.3454711230713587	0.28308979223195396	0.721450319574302	1.0284275145343154	1.2177419203733346	0.17600936696831376	-0.24484114056672315	
"Dodge"	"Viper"	0.916	58.47	0	69.725	8	450	96.2	75.7	176.7	3.375	19	16	-0.08773891430800675	3.5270819910878477	-0.5926187754015971	2.9497817849329206	4.727984020008577	4.656962748250245	-1.4771275845423733	1.3181254059524303	-0.7924199265511366	-0.004799046166392644	0.26957256890679826	-1.831431125594023
"Dodge"	"Ram Pickup"	227.061	15.06	1	19.46	5.2	230	138.7	79.3	224.2	4.47	26	17	5.425218703848948	-0.26306418963242895	1.6766775108923242	-0.5526021799813617	2.047668095362573	0.7769141582340191	4.084751041943263	2.3610378150576423	2.743975915260433	1.7319133431538152	2.0700205520641233	-1.5979346496096865
"Dodge"	"Ram Wagon"	16.767	15.51	1	21.315	3.9	175	109.6	78.8	192.6	4.245	32	15	2.8194126689556707	-0.22377449183643444	1.6766775108923242	-0.42334877791399883	0.8032357017769284	-0.19309798927003743	0.2765000294554502	2.216188869348585	0.39134204997105243	1.3750546330195264	3.6132616804846873	-2.0649276015783595
"Dodge"	"Ram Van"	31.038	13.425	1	18.575	3.9	175	127.2	78.8	208.5	4.298	32	16	3.435212260249433	-0.4058167582912092	1.6766775108923242	-0.6142675497008314	0.8032357017769284	-0.19309798927003743	2.579772119482445	2.216188869348585	1.5751040264932414	1.4591146847400478	3.6132616804846873	-1.831431125594023
"Dodge"	"Dakota"	111.313	11.26	1	16.98	2.5	120	131	71.5	215	3.557	22	19	4.712346052898298	-0.5948438599097166	1.6766775108923242	-0.7254045719636043	-0.5369222605460734	-1.163110136774094	3.0770695025564545	0.10139426199634681	2.059031878530614	0.28385999936445466	1.0411931331170803	-1.1309416976410136
"Dodge"	"Durango"	101.323		1	26.31	5.2	230	115.7	71.7	193.5	4.394	25	17	4.618313433854232		1.6766775108923242	-0.07530525051428068	2.047668095362573	0.7769141582340191	1.0747931970216253	0.1593338402799706	0.4583474448685352	1.6113744010640114	1.8128136973273625	-1.5979346496096865
"Dodge"	"Caravan"	181.749	12.025	1	19.565	2.4	150	113.3	76.8	186.3	3.533	20	24	5.202626614335219	-0.5280513736565258	1.6766775108923242	-0.5452859496756619	-0.6326478292834308	-0.6340126017718813	0.7607106392906708	1.636793086512355	-0.07769571431132292	0.24579507028346376	0.526779423643559	0.036540682280668424
"Ford"	"Escort"	70.227	7.425	0	12.07	2	110	98.4	67	174.7	2.468	12.7	30	4.251732852470844	-0.929679395571137	-0.5926187754015971	-1.067525436734899	-1.0155501042328599	-1.3394759817748316	-1.1892185732889986	-1.2022462493851704	-0.9413208041010974	-1.4433361576855057	-1.3508306159347945	1.437519538186687
"Ford"	"Mustang"	113.369	12.76	0	21.56	3.8	190	101.3	73.1	183.2	3.203	15.7	24	4.730647985314941	-0.4638782005897346	-0.5926187754015971	-0.4062775738673662	0.707510133039571	0.0714507782310689	-0.8097021493640975	0.564910888265329	-0.3084920745137639	-0.27759770458016075	-0.5792100517245122	0.036540682280668424
"Ford"	"Contour"	35.068	8.835	0	17.035	2.5	170	106.5	69.1	184.6	2.769	15	25	3.557289033726339	-0.8065716758103539	-0.5926187754015971	-0.7215722608510949	-0.5369222605460734	-0.2812809117704062	-0.12918994094703085	-0.5938806774071307	-0.2042614602287909	-0.9659385054614118	-0.7592548500402445	0.27003715826500485
"Ford"	"Taurus"	245.815	10.055	0	17.885	3	155	108.5	73	197.6	3.368	16	24	5.5045792204937305	-0.7000529395634354	-0.5926187754015971	-0.6623456345668585	-0.05829441685928703	-0.5458296792715125	0.1325455238287639	0.5359410991235192	0.7635942438459545	-0.0159013171483485	-0.5020479953034839	0.036540682280668424
"Ford"	"Focus"	175.67		0	12.315	2	107	103	66.9	174.8	2.564	13.2	30	5.168607235025291		-0.5926187754015971	-1.0504542326882662	-1.0155501042328599	-1.3923857352750528	-0.5872270043046716	-1.2312160385269801	-0.9338757602235976	-1.291076441361542	-1.222227188566414	1.437519538186687
"Ford"	"Crown Victoria"	63.403	14.21	0	22.195	4.6	200	114.7	78.2	212	3.908	19	21	4.149511178935677	-0.33727806324708537	-0.5926187754015971	-0.36203180011384833	1.4733146829384292	0.24781662323180645	0.9439254646337278	2.0423701344977174	1.8356805622056729	0.840559587173946	0.26957256890679826	-0.6639487456723409
"Ford"	"Explorer"	276.747	16.64	1	31.93	4	210	111.6	70.2	190.7	3.876	21	19	5.623103731421591	-0.12511369514871465	1.6766775108923242	0.3162872668003174	0.8989612705142858	0.424182468232544	0.538235494231245	-0.27521299684720174	0.2498862162985892	0.7898063483992914	0.7839862783803196	-1.1309416976410136
"Ford"	"Windstar"	155.787	13.175	1	21.41	3	150	120.7	76.6	200.9	3.761	26	21	5.048489689647225	-0.4276443681778729	1.6766775108923242	-0.4167293314469372	-0.05829441685928703	-0.6340126017718813	1.729131858961112	1.5788535082287312	1.0092806918033908	0.6074118965528773	2.0700205520641233	-0.6639487456723409
"Ford"	"Expedition"	125.338	23.575	1	36.135	4.6	240	119	78.7	204.6	4.808	26	16	4.831014088071168	0.480384203107335	1.6766775108923242	0.6092848709476277	1.4733146829384292	0.9532800032347567	1.5066567139016862	2.1872190802067752	1.2847473152708173	2.2679944277111033	2.0700205520641233	-1.831431125594023
"Ford"	"Ranger"	220.65	7.85	1	12.05	2.5	119	117.5	69.4	200.7	3.086	20	23	5.396577735715557	-0.8925724587638088	1.6766775108923242	-1.068919004412175	-0.5369222605460734	-1.1807467212741678	1.31035511531984	-0.5069713099816929	0.9943906040483933	-0.4631642338499912	0.526779423643559	-0.196955793703668
"Ford"	"F-Series"	540.561	15.075	1	26.935	4.6	220	138.5	79.1	224.5	4.241	25.1	18	6.2926074891756105	-0.26175453303922924	1.6766775108923242	-0.031756260599401	1.4733146829384292	0.6005483132332816	4.058577495465685	2.3030982367740185	2.766311046892928	1.3687104781726938	1.838534382801039	-1.3644381736253501
"Honda"	"Civic"	199.685	9.85	0	12.885	1.6	106	103.2	67.1	175.1	2.339	11.9	32	5.2967411249316685	-0.7179515796704996	-0.5926187754015971	-1.0107375538858958	-1.398452379182289	-1.4100223197751265	-0.5610534578270917	-1.1732764602433605	-0.9115406285911049	-1.6479351514958316	-1.5565960997242028	1.9045124901553598
"Honda"	"Accord"	230.902	13.21	0	15.35	2.3	135	106.9	70.3	188.8	2.932	17.1	27	5.441993378081274	-0.42458850279373994	-0.5926187754015971	-0.8389803376616105	-0.7283733980207882	-0.8985613692729877	-0.07684284799187115	-0.24624320770539193	0.10843038262612811	-0.7074141954530158	-0.2191204550930467	0.7370301102336777
"Honda"	"CR-V"	73.203	17.71	1	20.55	2	146	103.2	68.9	177.6	3.219	15.3	24	4.293236403734018	-0.03169152483379419	1.6766775108923242	-0.4766527415698116	-1.0155501042328599	-0.7045589397721763	-0.5610534578270917	-0.6518202556907503	-0.7254145316536538	-0.2522210851928335	-0.6820927936192162	0.036540682280668424
"Honda"	"Passport"	12.855	17.525	1	26.6	3.2	205	106.4	70.4	178.2	3.857	21.1	19	2.553732840717853	-0.047843956149925496	1.6766775108923242	-0.05509851919377632	0.1331567206154277	0.3359995457321752	-0.14227671418581983	-0.21727341856357796	-0.680744268388666	0.7596716128768409	0.8097069638539961	-1.1309416976410136
"Honda"	"Odyssey"	76.029	19.49	1	26	3.5	210	118.1	75.6	201.2	4.288	20	23	4.3311148464509674	0.12372105755925081	1.6766775108923242	-0.0969055495120609	0.42033342682749936	0.424182468232544	1.3888757547525779	1.2891556168106164	1.0316158234358836	1.4432542976229685	0.526779423643559	-0.196955793703668
"Hyundai"	"Accent"	41.184	5.86	0	9.699	1.5	92	96.1	65.7	166.7	2.24	11.9	31	3.7180498314137163	-1.0663202334616515	-0.5926187754015971	-1.2327328848759864	-1.4941779479196462	-1.656934502776159	-1.4902143577811642	-1.578853508228719	-1.5369243143009408	-1.8049529839549185	-1.5565960997242028	1.6710160141710233
"Hyundai"	"Elantra"	66.692	7.825	0	11.799	2	140	100.4	66.9	174	2.626	14.5	27	4.200085005698212	-0.8947552197524751	-0.5926187754015971	-1.0864082787619909	-1.0155501042328599	-0.8103784467726188	-0.927483108513204	-1.2312160385269801	-0.9934361112435829	-1.1927420412356493	-0.8878582774086249	0.7370301102336777
"Hyundai"	"Sonata"	29.45	8.91	0	14.999	2.4	148	106.3	71.6	185.4	3.072	17.2	25	3.3826939100975957	-0.8000233928443549	-0.5926187754015971	-0.8634374503978068	-0.6326478292834308	-0.6692857707720288	-0.15536348742461067	0.13036405113815666	-0.14470110920880572	-0.4853687758139022	-0.1933997696193712	0.27003715826500485
"Infiniti"	"I30"	23.713	19.69	0	29.465	3	227	108.3	70.2	193.7	3.342	18.5	25	3.1660234209639726	0.141183145468582	-0.5926187754015971	0.144530050576032	-0.05829441685928703	0.7240044047337979	0.10637197735118403	-0.27521299684720174	0.47323753262353047	-0.05713832365275495	0.1409691415384179	0.27003715826500485
"Jaguar"	"S-Type"	15.467		0	42.8	3	240	114.5	71.6	191.3	3.65	18.4	21	2.738708722056003		-0.5926187754015971	1.0736912993999044	-0.05829441685928703	0.9532800032347567	0.9177519181561481	0.13036405113815666	0.29455647956357917	0.43136159955329423	0.11524845606474148	-0.6639487456723409
"Jeep"	"Wrangler"	55.557	13.475	1	14.46	2.5	120	93.4	66.7	152	3.045	19	17	4.017409520747978	-0.4014512363138766	1.6766775108923242	-0.9009940993003991	-0.5369222605460734	-1.163110136774094	-1.8435572352284855	-1.289155616810604	-2.631345764293152	-0.5281918210300172	0.26957256890679826	-1.5979346496096865
"Jeep"	"Cherokee"	80.556	13.775	1	21.62	4	190	101.4	69.4	167.5	3.194	20	20	4.388952594744615	-0.37525810444988017	1.6766775108923242	-0.4020968708355376	0.8989612705142858	0.0714507782310689	-0.7966153761253066	-0.5069713099816929	-1.4773639632809556	-0.29187205298553215	0.526779423643559	-0.8974452216566773
"Jeep"	"Grand Cherokee"	157.04	18.81	1	26.895	4	195	105.9	72.3	181.5	3.88	20.5	19	5.056500549968206	0.0643499586675257	1.6766775108923242	-0.03454339595395324	0.8989612705142858	0.15963370073143768	-0.2077105803797685	0.3331525751308379	-0.43505782043122976	0.7961505032461232	0.6553828510119393	-1.1309416976410136
"Lexus"	"ES300"	24.072	26.975	0	31.505	3	210	105.1	70.5	190.2	3.373	18.5	23	3.181049339327744	0.7772396975659609	-0.5926187754015971	0.28667395365819914	-0.05829441685928703	0.424182468232544	-0.3124047662900879	-0.18830362942176812	0.212660996911099	-0.0079711235898082	0.1409691415384179	-0.196955793703668
"Lexus"	"GS300"	12.698	32.075	0	37.805	3	225	110.2	70.9	189.2	3.638	19.8	23	2.5414445007482582	1.2225229392538994	-0.5926187754015971	0.7256477720001863	-0.05829441685928703	0.6887312357336504	0.3550206688881898	-0.0724244728545205	0.13821055813611857	0.4123291350127988	0.475338052696207	-0.196955793703668
"Lexus"	"GS400"	3.334		0	46.305	4	300	110.2	70.9	189.2	3.693	19.8	21	1.2041727843286023		-0.5926187754015971	1.3179140348425498	0.8989612705142858	2.011475073239182	0.3550206688881898	-0.0724244728545205	0.13821055813611857	0.4995612641567364	0.475338052696207	-0.6639487456723409
"Lexus"	"LS400"	6.375	40.375	0	54.005	4	290	112.2	72	196.7	3.89	22.5	22	1.8523840910444898	1.9471995874911325	-0.5926187754015971	1.8544375905938675	0.8989612705142858	1.8351092282384445	0.6167561336639845	0.24624320770540428	0.6965888489484717	0.8120108903632032	1.1697965604854608	-0.43045226968800443
"Lexus"	"LX470"	9.126		1	60.105	4.7	230	112.2	76.4	192.5	5.401	25.4	15	2.2111274825052107		1.6766775108923242	2.279475732163093	1.5690402516757869	0.7769141582340191	0.6167561336639845	1.5209139299451115	0.3838970060935548	3.208515383753919	1.9156964392220663	-2.0649276015783595
"Lexus"	"RX300"	51.238		1	34.605	3	220	103	71.5	180.1	3.9	17.2	21	3.9364814442605196		1.6766775108923242	0.5026769436360022	-0.05829441685928703	0.6005483132332816	-0.5872270043046716	0.10139426199634681	-0.5392884347162028	0.8278712774802823	-0.1933997696193712	-0.6639487456723409
"Lincoln"	"Continental"	13.798	20.525	0	39.08	4.6	275	109	73.6	208.5	3.868	20	22	2.6245236541239167	0.21408736249003835	-0.5926187754015971	0.8144877114265408	1.4733146829384292	1.570560460737338	0.19797939002271256	0.7097598339743865	1.5751040264932414	0.7771180387056278	0.526779423643559	-0.43045226968800443
"Lincoln"	"Town car"	48.911	21.725	0	43.33	4.6	215	117.7	78.2	215.3	4.121	19	21	3.8900023200588776	0.31885988994602416	-0.5926187754015971	1.1106208428477224	1.4733146829384292	0.5123653907329128	1.33652866179742	2.0423701344977174	2.081367010163109	1.1783858327677408	0.26957256890679826	-0.6639487456723409
"Lincoln"	"Navigator"	22.925		1	42.66	5.4	300	119	79.9	204.8	5.393	30	15	3.1322280181425284		1.6766775108923242	1.0639363256589713	2.239119232837288	2.011475073239182	1.5066567139016862	2.534856549908514	1.2996374030258147	3.1958270740602557	3.098847971011166	-2.0649276015783595
"Mitsubishi"	"Mirage"	26.232	8.325	0	13.987	1.8	113	98.4	66.5	173.6	2.25	13.2	30	3.266980039542347	-0.8510999999791479	-0.5926187754015971	-0.9339519748679801	-1.2070012417075744	-1.2865662282746102	-1.1892185732889986	-1.3470951950942278	-1.0232162867535755	-1.7890925968378395	-1.222227188566414	1.437519538186687
"Mitsubishi"	"Eclipse"	42.541	10.395	0	19.047	2.4	154	100.8	68.9	175.4	2.91	15.9	24	3.750468316783058	-0.6703673901175728	-0.5926187754015971	-0.5813793525171143	-0.6326478292834308	-0.5634662637715863	-0.8751360155580462	-0.6518202556907503	-0.8892054969586098	-0.7423070471105904	-0.5277686807771599	0.036540682280668424
"Mitsubishi"	"Galant"	55.616	10.595	0	17.357	2.4	145	103.7	68.5	187.8	2.945	16.3	25	4.018470929642927	-0.6529053022082418	-0.5926187754015971	-0.699135821246949	-0.6326478292834308	-0.7221955242722501	-0.49561959163314306	-0.767699412257998	0.03397994385114769	-0.6867956922008126	-0.42488593888245546	0.27003715826500485
"Mitsubishi"	"Diamante"	5.711	16.575	0	24.997	3.5	210	107.1	70.3	194.1	3.443	19	22	1.7423941396827258	-0.13078887371924733	-0.5926187754015971	-0.1667929685274598	0.42033342682749936	0.424182468232544	-0.050669301514293164	-0.24624320770539193	0.503017708133523	0.10305158622974823	0.26957256890679826	-0.43045226968800443
"Mitsubishi"	"3000GT"	0.11	20.94	0	25.45	3	161	97.2	72.4	180.3	3.131	19.8	21	-2.2072749131897207	0.25032119490190025	-0.5926187754015971	-0.13522866063715505	-0.05829441685928703	-0.44001017227107	-1.346259852154476	0.3621223642726519	-0.5243983469612054	-0.39179249182313347	0.475338052696207	-0.6639487456723409
"Mitsubishi"	"Montero"	11.337	19.125	1	31.807	3.5	200	107.3	69.9	186.6	4.52	24.3	18	2.4280717130354614	0.09185274712472201	1.6766775108923242	0.307716825585069	0.42033342682749936	0.24781662323180645	-0.024495755036713324	-0.36212236427263544	-0.05536058267883007	1.8112152787392124	1.6327688990116302	-1.3644381736253501
